GEOID,total_sales,median_price,median_SF
47015960100,6,305950.0,1476.5
47015960201,5,280000.0,1248.0
47015960202,8,590000.0,2340.5
47015960300,22,364900.0,1676.0
47021070102,4,530000.0,2120.5
47021070103,2,512500.0,2245.0
47021070104,2,550000.0,2028.0
47021070201,38,467450.0,2247.0
47021070202,8,358500.0,1727.5
47021070203,21,429900.0,2293.0
47021070300,15,297000.0,1248.0
47021070401,4,412499.5,2048.0
47021070402,11,484030.0,1674.0
47037010103,4,524999.5,2742.0
47037010105,2,565000.0,2785.5
47037010106,19,485000.0,2128.0
47037010201,10,459032.0,2056.0
47037010202,3,460000.0,1974.0
47037010301,10,427450.0,1859.0
47037010302,7,319700.0,1275.0
47037010303,10,400000.0,1690.0
47037010401,4,469950.0,1986.0
47037010403,31,396400.0,1745.0
47037010404,10,367500.0,1519.0
47037010501,15,395000.0,1584.0
47037010502,15,392000.0,1574.0
47037010602,15,499900.0,1839.0
47037010701,12,393500.0,1350.0
47037010702,7,130000.0,1060.0
47037010802,1,156000.0,1360.0
47037010901,1,112500.0,2176.0
47037010903,29,385000.0,1400.0
47037010904,9,499900.0,1811.0
47037011001,42,489900.0,1737.5
47037011100,8,762450.0,2451.0
47037011200,17,715000.0,2258.0
47037011300,49,575000.0,1998.0
47037011400,57,720000.0,2325.0
47037011500,13,869900.0,2840.0
47037011600,62,862450.0,2653.0
47037011700,18,762450.0,3158.0
47037011800,10,902750.0,3023.0
47037011900,6,782500.0,2441.0
47037012100,11,760000.0,2581.0
47037012200,9,1625000.0,3393.0
47037012600,5,995000.0,2874.0
47037012701,9,470000.0,1534.0
47037012702,18,1149900.0,2012.0
47037012801,51,589551.0,1955.0
47037012802,13,515000.0,1797.0
47037013001,5,682500.0,2438.0
47037013100,7,585000.0,1824.0
47037013201,30,777450.0,2536.0
47037013202,76,749900.0,2379.5
47037013300,62,752500.0,2479.0
47037013400,26,1750000.0,3638.0
47037013500,20,1370000.0,3296.0
47037013600,19,600000.0,2064.0
47037013701,24,598900.0,2385.0
47037013702,9,550000.0,1880.0
47037013800,7,650000.0,2107.0
47037013900,8,543950.0,1848.0
47037014200,2,775000.0,2159.0
47037014300,20,621450.0,2119.5
47037014400,8,722500.0,2385.0
47037015100,4,452000.0,1563.0
47037015200,3,500000.0,2439.0
47037015300,5,817508.0,3204.0
47037015401,3,399000.0,1750.0
47037015402,3,612750.0,2343.0
47037015404,32,567132.5,2159.0
47037015405,8,633682.5,2717.0
47037015501,17,469900.0,1906.0
47037015609,13,544900.0,2671.0
47037015615,2,450837.5,2164.5
47037015618,3,409900.0,2150.0
47037015619,2,500000.0,2536.5
47037015620,3,485000.0,2400.0
47037015622,34,519875.0,2412.0
47037015623,5,472500.0,1634.0
47037015624,2,442500.0,1747.0
47037015625,1,569900.0,2350.0
47037015626,4,443250.0,2138.0
47037015628,1,405000.0,1832.0
47037015629,41,388990.0,1749.0
47037015630,26,447495.0,2047.0
47037015633,31,595700.0,2611.0
47037015634,104,407495.0,1924.0
47037015635,8,484370.0,2006.5
47037015636,3,364900.0,1444.0
47037015700,2,510000.0,1652.0
47037015805,1,570000.0,1400.0
