county_name,total_permits,population,permit_ratio
Cannon,152.0,15063,100.90951337714931
Cheatham,264.0,42254,62.479291901358444
Davidson,2773.0,712334,38.92836787237448
Dickson,391.0,56729,68.92418339826192
Hickman,121.0,25826,46.852009602725936
Macon,161.0,26793,60.09032209905572
Maury,1615.0,110760,145.8107620079451
Robertson,941.0,76776,122.56434302386162
Rutherford,2917.0,367101,79.46042097406436
Smith,133.0,20538,64.75800954328562
Sumner,1728.0,207994,83.07931959575757
Trousdale,94.0,12271,76.6033738081656
Williamson,1543.0,264460,58.34530741889132
Wilson,1819.0,163674,111.13554993462616
